timestamp,headline
2026-08-14T05:56:53,Immigrant detained by ICE dies after medical emergency - NBC News
2026-08-14T05:56:53,San Antonio mariachi community calls for release of Venezuelan musician detained by ICE - kens5.com
2026-08-14T05:56:53,Chester County newlywed detained by ICE after routine check-in - NBC10 Philadelphia
2026-08-14T05:56:53,Seventh-day Adventist pastor detained by ICE at Houston�s IAH airport - Houston Chronicle
2026-08-14T05:56:53,I-9 Compliance Series: Part 3�HSI Worksite Enforcement Audits and Investigations - Ogletree
2026-08-14T06:09:18,Immigrant detained by ICE dies after medical emergency - NBC News
2026-08-14T06:09:18,San Antonio mariachi community calls for release of Venezuelan musician detained by ICE - kens5.com
2026-08-14T06:09:18,I-9 Compliance Series: Part 3�HSI Worksite Enforcement Audits and Investigations - Ogletree
2026-08-14T06:09:18,"Lawyer says MaineHealth nurse detained by ICE was arrested at Portland Jetport, not Logan Airport - Maine Public"
2026-08-14T06:09:18,How a family swimming spot at a national forest became �a trap� for an ICE raid - The 19th News
2026-08-14T06:11:56,Immigrant detained by ICE dies after medical emergency - NBC News
2026-08-14T06:11:56,San Antonio mariachi community calls for release of Venezuelan musician detained by ICE - kens5.com
2026-08-14T06:11:56,I-9 Compliance Series: Part 3�HSI Worksite Enforcement Audits and Investigations - Ogletree
2026-08-14T06:11:56,"Lawyer says MaineHealth nurse detained by ICE was arrested at Portland Jetport, not Logan Airport - Maine Public"
2026-08-14T06:11:56,How a family swimming spot at a national forest became �a trap� for an ICE raid - The 19th News
2026-08-14T06:13:53,Seventh-day Adventist pastor detained by ICE at Houston�s IAH airport - Houston Chronicle
2026-08-14T06:13:53,Chester County newlywed detained by ICE after routine check-in - NBC10 Philadelphia
2026-08-14T06:15:45,Immigrant detained by ICE dies after medical emergency - NBC News
2026-08-14T06:15:45,Seventh-day Adventist pastor detained by ICE at Houston�s IAH airport - Houston Chronicle
2026-08-14T06:15:45,San Antonio mariachi community calls for release of Venezuelan musician detained by ICE - kens5.com
2026-08-14T06:15:45,How a family swimming spot at a national forest became �a trap� for an ICE raid - The 19th News
2026-08-14T06:15:45,Chester County newlywed detained by ICE after routine check-in - NBC10 Philadelphia
2026-08-14T06:19:17,Immigrant detained by ICE dies after medical emergency - NBC News
2026-08-14T06:19:17,San Antonio mariachi community calls for release of Venezuelan musician detained by ICE - kens5.com
2026-08-14T06:19:17,Chester County newlywed detained by ICE after routine check-in - NBC10 Philadelphia
