,I,M,E,T,barE,th,E_th,E_T,E_M
2024-08-01,0.02607144490692037,0.00432588320115368,-0.05784588381139533,-0.07268138790148249,0.0571323228837443,0.0,-0.0,0.00420431911980011,-0.0002502345370356026
2024-09-01,0.024264830315416708,0.00432588320115368,-0.079068168960997,-0.01747500432704463,0.056477103013191116,0.0,-0.0,0.0013817165947249185,-0.0003420396638543577
2024-10-01,0.02578844053871343,-0.000717875089734421,0.03769981037024728,-0.17221630155525336,0.05582188314263792,0.0,0.0,-0.006492521911298373,-2.706375475251192e-05
2024-11-01,0.02719472461284833,-0.000717875089734421,-0.026134739471011414,-0.11257259149923193,0.05516666327208474,0.0,-0.0,0.0029420553504090207,1.8761478442938034e-05
2024-12-01,0.028706909675099812,-0.000717875089734421,-0.0037929396793772163,-0.2102438315094507,0.05451144340153154,0.0,-0.0,0.0007974421708764934,2.722856912690165e-06
2025-01-01,0.029909783078999608,-0.001436781609195359,0.07021554780778949,-0.07268389982211743,0.061321495557880995,1.0,0.07021554780778949,-0.005103539842816468,-0.00010088440776980945
2025-02-01,0.028015834477613355,-0.001436781609195359,-0.04245676897456274,0.046992640676525976,0.06020973902664246,0.0,-0.0,-0.001995155688707903,6.100110484850785e-05
2025-03-01,0.02381981462805549,-0.001436781609195359,-0.04634853615109613,0.1029931132473898,0.05909798249540388,0.0,-0.0,-0.004773580032660584,6.659272435502117e-05
2025-04-01,0.0232538823025783,0.003597122302158251,-0.07010879648541024,-0.12522180266423277,0.0584427626248507,0.0,-0.0,0.008779149878522897,-0.0002521899154151432
2025-05-01,0.023772651073680873,0.003597122302158251,-0.037410705452702864,-0.05439416505598338,0.0577875427542975,0.0,-0.0,0.002034924087255097,-0.00013457088292339077
2025-06-01,0.02680453865910226,0.003597122302158251,0.08409385195705066,0.025325478254432543,0.0668802782140738,1.0,0.08409385195705066,0.002129717019069756,0.00030249587034910123
2025-07-01,0.02742618052167134,0.008602150537634357,0.002927808671015608,0.23566134881965328,0.06576852168283526,0.0,0.0,0.0006899713404974147,2.5185450933467443e-05
2025-08-01,0.029385917430316155,0.008602150537634357,-0.03294773233897674,0.16540328746667932,0.06465676515159668,0.0,-0.0,-0.005449663243438977,-0.0002834213534535617
2025-09-01,0.030225715847133294,0.008602150537634357,0.004269045111560343,0.009297914519452721,0.06354500862035811,0.0,0.0,3.969321652697558e-05,3.672296870159413e-05
2025-11-01,0.026964439164939513,0.001421464108031234,-0.004291204318647712,0.0765882063098664,0.06243325208911961,0.0,-0.0,-0.0003286556416743807,-6.09979291918635e-06
2025-12-01,0.02653304114557753,0.001421464108031234,-0.03220563285319056,0.025068291354291672,0.06132149555788103,0.0,-0.0,-0.0008073401876131287,-4.5779151177241925e-05
2026-01-01,0.02391201432150014,0.002129169623846572,0.050899442136639994,0.0994487688487935,0.06020973902664246,0.0,0.0,0.0050618868555792505,0.00010837354606807013
2026-02-01,0.024340041103732224,0.002129169623846572,0.07166382768486157,0.1656056729797697,0.07021554780778949,1.0,0.07166382768486157,0.011867936412057752,0.00015258444503518225
2026-03-01,0.032859577528651984,0.002129169623846572,0.43501046959451717,-0.07372057062124138,0.07151899969715436,1.0,0.43501046959451717,-0.03206922004472198,0.0009262110779158786
2026-04-01,0.03779245836741563,0.0,0.028762582590520225,0.04598996496435315,0.07137417170944715,0.0,0.0,0.0013227901656223389,0.0
